MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name
25,DAMAN & DIU,0,DAMAN & DIU,0,DAMAN & DIU,0,DAMAN & DIU
25,DAMAN & DIU,494,Diu,0,Diu,0,Diu
25,DAMAN & DIU,494,Diu,3947,Diu,0,Diu
25,DAMAN & DIU,494,Diu,3947,Diu,524907,Vanakbara
25,DAMAN & DIU,494,Diu,3947,Diu,524908,Zolawadi
25,DAMAN & DIU,494,Diu,3947,Diu,524909,Bhucharvada
25,DAMAN & DIU,494,Diu,3947,Diu,524910,Saudwadi
25,DAMAN & DIU,495,Daman,0,Daman,0,Daman
25,DAMAN & DIU,495,Daman,3948,Daman,0,Daman
25,DAMAN & DIU,495,Daman,3948,Daman,524911,Devka
25,DAMAN & DIU,495,Daman,3948,Daman,524912,Janivankad
25,DAMAN & DIU,495,Daman,3948,Daman,524913,Varkund
25,DAMAN & DIU,495,Daman,3948,Daman,524914,Ringanwada
25,DAMAN & DIU,495,Daman,3948,Daman,524915,Magarwada
25,DAMAN & DIU,495,Daman,3948,Daman,524916,Damanwada (Dama O-De-Cima)
25,DAMAN & DIU,495,Daman,3948,Daman,524917,Palhit
25,DAMAN & DIU,495,Daman,3948,Daman,524918,Bhamati
25,DAMAN & DIU,495,Daman,3948,Daman,524919,Dholar
25,DAMAN & DIU,495,Daman,3948,Daman,524920,Jampore
25,DAMAN & DIU,495,Daman,3948,Daman,524921,Pariari
25,DAMAN & DIU,495,Daman,3948,Daman,524922,Deva Pardi
25,DAMAN & DIU,495,Daman,3948,Daman,524923,Naila Pardi
25,DAMAN & DIU,495,Daman,3948,Daman,524924,Thana Pardi
25,DAMAN & DIU,495,Daman,3948,Daman,524925,Zari
25,DAMAN & DIU,495,Daman,3948,Daman,524926,Marwad (CT)
25,DAMAN & DIU,495,Daman,3948,Daman,524927,Kadaiya (CT)
25,DAMAN & DIU,495,Daman,3948,Daman,524928,Bhimpore (CT)
25,DAMAN & DIU,495,Daman,3948,Daman,524929,Dunetha (CT)
25,DAMAN & DIU,495,Daman,3948,Daman,524930,Dadhel (CT)
25,DAMAN & DIU,495,Daman,3948,Daman,524931,Kachigam (CT)
